species,card_short_name,count,gene_list
Campylobacter jejuni,cmeA,10,"['aad(6)', 'OXA-193', 'tet(O)', 'TEM-229', ""APH(3')-IIIa"", 'tet(O/M/O)', 'tet(O/32/O)', 'Cjej_23S_ERY', 'OXA-585', 'cmeC', 'OXA-580', 'OXA-605', 'cmeB', 'OXA-603', 'fexA', 'OXA-453', 'cmeR', 'OXA-460', 'AcrE', 'OXA-610', 'tet(45)', 'OXA-786', 'OXA-608', 'OXA-607', 'TEM-157', 'cmeA']"
Campylobacter jejuni,tet(O/M/O),5,"['aad(6)', 'OXA-193', 'tet(O)', 'TEM-229', ""APH(3')-IIIa"", 'tet(O/M/O)', 'tet(O/32/O)', 'Cjej_23S_ERY', 'OXA-585', 'cmeC', 'OXA-580', 'OXA-605', 'cmeB', 'OXA-603', 'fexA', 'OXA-453', 'cmeR', 'OXA-460', 'AcrE', 'OXA-610', 'tet(45)', 'OXA-786', 'OXA-608', 'OXA-607', 'TEM-157', 'cmeA']"
Campylobacter jejuni,fexA,1,"['aad(6)', 'OXA-193', 'tet(O)', 'TEM-229', ""APH(3')-IIIa"", 'tet(O/M/O)', 'tet(O/32/O)', 'Cjej_23S_ERY', 'OXA-585', 'cmeC', 'OXA-580', 'OXA-605', 'cmeB', 'OXA-603', 'fexA', 'OXA-453', 'cmeR', 'OXA-460', 'AcrE', 'OXA-610', 'tet(45)', 'OXA-786', 'OXA-608', 'OXA-607', 'TEM-157', 'cmeA']"
Campylobacter jejuni,APH(3')-IIIa,1,"['aad(6)', 'OXA-193', 'tet(O)', 'TEM-229', ""APH(3')-IIIa"", 'tet(O/M/O)', 'tet(O/32/O)', 'Cjej_23S_ERY', 'OXA-585', 'cmeC', 'OXA-580', 'OXA-605', 'cmeB', 'OXA-603', 'fexA', 'OXA-453', 'cmeR', 'OXA-460', 'AcrE', 'OXA-610', 'tet(45)', 'OXA-786', 'OXA-608', 'OXA-607', 'TEM-157', 'cmeA']"
Campylobacter jejuni,AcrE,1,"['aad(6)', 'OXA-193', 'tet(O)', 'TEM-229', ""APH(3')-IIIa"", 'tet(O/M/O)', 'tet(O/32/O)', 'Cjej_23S_ERY', 'OXA-585', 'cmeC', 'OXA-580', 'OXA-605', 'cmeB', 'OXA-603', 'fexA', 'OXA-453', 'cmeR', 'OXA-460', 'AcrE', 'OXA-610', 'tet(45)', 'OXA-786', 'OXA-608', 'OXA-607', 'TEM-157', 'cmeA']"
Campylobacter jejuni,OXA-460,1,"['aad(6)', 'OXA-193', 'tet(O)', 'TEM-229', ""APH(3')-IIIa"", 'tet(O/M/O)', 'tet(O/32/O)', 'Cjej_23S_ERY', 'OXA-585', 'cmeC', 'OXA-580', 'OXA-605', 'cmeB', 'OXA-603', 'fexA', 'OXA-453', 'cmeR', 'OXA-460', 'AcrE', 'OXA-610', 'tet(45)', 'OXA-786', 'OXA-608', 'OXA-607', 'TEM-157', 'cmeA']"
Campylobacter jejuni,OXA-453,1,"['aad(6)', 'OXA-193', 'tet(O)', 'TEM-229', ""APH(3')-IIIa"", 'tet(O/M/O)', 'tet(O/32/O)', 'Cjej_23S_ERY', 'OXA-585', 'cmeC', 'OXA-580', 'OXA-605', 'cmeB', 'OXA-603', 'fexA', 'OXA-453', 'cmeR', 'OXA-460', 'AcrE', 'OXA-610', 'tet(45)', 'OXA-786', 'OXA-608', 'OXA-607', 'TEM-157', 'cmeA']"
Campylobacter jejuni,OXA-786,1,"['aad(6)', 'OXA-193', 'tet(O)', 'TEM-229', ""APH(3')-IIIa"", 'tet(O/M/O)', 'tet(O/32/O)', 'Cjej_23S_ERY', 'OXA-585', 'cmeC', 'OXA-580', 'OXA-605', 'cmeB', 'OXA-603', 'fexA', 'OXA-453', 'cmeR', 'OXA-460', 'AcrE', 'OXA-610', 'tet(45)', 'OXA-786', 'OXA-608', 'OXA-607', 'TEM-157', 'cmeA']"
Campylobacter jejuni,OXA-605,1,"['aad(6)', 'OXA-193', 'tet(O)', 'TEM-229', ""APH(3')-IIIa"", 'tet(O/M/O)', 'tet(O/32/O)', 'Cjej_23S_ERY', 'OXA-585', 'cmeC', 'OXA-580', 'OXA-605', 'cmeB', 'OXA-603', 'fexA', 'OXA-453', 'cmeR', 'OXA-460', 'AcrE', 'OXA-610', 'tet(45)', 'OXA-786', 'OXA-608', 'OXA-607', 'TEM-157', 'cmeA']"
Campylobacter jejuni,tet(O/32/O),1,"['aad(6)', 'OXA-193', 'tet(O)', 'TEM-229', ""APH(3')-IIIa"", 'tet(O/M/O)', 'tet(O/32/O)', 'Cjej_23S_ERY', 'OXA-585', 'cmeC', 'OXA-580', 'OXA-605', 'cmeB', 'OXA-603', 'fexA', 'OXA-453', 'cmeR', 'OXA-460', 'AcrE', 'OXA-610', 'tet(45)', 'OXA-786', 'OXA-608', 'OXA-607', 'TEM-157', 'cmeA']"
