Prevalence Sequence ID,CARD Short Name,species_count
5779,OXA-58,11
8076,adeF,11
13863,OXA-21,11
9309,qacL,11
6995,CTX-M-9,11
67408,cmlA4,11
6993,catI,11
5875,EreA,11
8637,SHV-7,11
9207,OXA-896,11
27096,APH(6)-Id,11
27786,ANT(3'')-IIa,11
30578,APH(3')-Ia,11
9032,AAC(6')-Ib10,11
9010,qacG,11
9001,sul1,11
42465,dfrA21,11
11409,CfxA3,11
7415,aphA15,11
7406,qacE,11
14314,aadA,11
10874,SFO-1,11
44849,ANT(3'')-IIa,11
6145,mef(B),11
7669,catB11,11
63889,dfrA10,11
20218,dfrA23,11
11413,CfxA2,11
149213,lnuA,11
9045,qacG,10
6013,tet(Y),10
12538,ANT(3'')-IIa,10
169554,mphC,10
91846,sul1,10
9184,floR,10
79264,APH(3')-IIa,10
9007,sul1,10
12977,OXA-1,10
15671,sul1,10
123155,mecR1,10
169736,ErmC,10
154,OXA-347,10
44530,ANT(3'')-IIa,10
86299,sul1,10
11862,qacE,10
16091,dfrA17,10
20122,AAC(3)-VIa,10
10239,sul1,10
51981,VEB-1,10
123174,ErmA,10
123171,mecR1,10
12812,adeF,10
15842,aadA,10
10404,qacA,10
6150,oqxB,10
10407,msrA,10
9422,QnrB17,10
9304,APH(3')-Ia,10
11433,tet(Q),10
123156,mecI,10
149302,AAC6_Ie_APH2_Ia,10
174026,lnuA,10
14903,APH(3'')-Ib,10
8291,aadA,10
15283,sul2,10
6856,APH(3'')-Ib,10
320402,OXA-4,10
6,tet(M),10
6996,MCR-9.1,10
15338,Erm(42),10
14782,dfrA14,10
36363,APH(3'')-Ib,10
15014,tet(A),10
102834,AAC(6')-Ib',10
8968,CMY-6,10
39396,APH(3')-Ia,10
8964,APH(3'')-Ib,10
14615,floR,10
7261,dfrA17,10
13103,qacE,10
13101,sul1,10
61983,tet(A),10
2020,PC1_blaZ,10
7238,OXA-9,10
10236,VEB-3,9
9828,catB3,9
16550,BLMT,9
147139,aad(6),9
13930,dfrA27,9
169459,ErmA,9
6181,rsmA,9
10162,AAC(6')-Ib9,9
10157,aadA11,9
19182,linG,9
11357,qacEdelta1,9
47671,aadA15,9
5974,cmlA9,9
11346,CTX-M-14,9
149167,Efae_ACT_CHL,9
169555,msrA,9
10898,KPC-26,9
39215,DHA-7,9
21525,APH(3'')-Ib,9
169570,lnuA,9
7470,catI,9
149136,PC1_blaZ,9
7402,AAC(6')-Ib9,9
38068,qacE,9
14877,CTX-M-1,9
11498,tet(Q),9
6151,oqxA,9
5448,SAT-4,9
92324,OXA-23,9
25015,sul2,9
32234,AAC(6')-Ib-cr6,9
12141,AAC(6')-Ian,9
26410,OXA-1,9
8723,qacEdelta1,9
11397,tet(Q),9
88298,IMP-14,9
6838,adeF,9
2817,SAT-4,9
13230,dfrA14,9
8843,TEM-141,9
9116,qacJ,9
12544,QnrS1,9
111089,APH(6)-Id,9
9005,catB8,9
5876,dfrA32,9
15562,tet(M),9
27443,aadA24,9
101085,AAC(6')-Ib9,9
22550,BLMT,9
33623,qacE,9
81802,AAC(6')-Ib3,9
9706,dfrA7,9
77,tet(X),9
6852,IMP-26,9
174157,cfrA,9
16034,AAC(6')-Ib7,8
123144,PC1_blaZ,8
13108,qacL,8
13182,aadA5,8
5878,tet(C),8
2021,Saur_mupA_MUP,8
15845,APH(6)-Id,8
5540,aad(6),8
13529,TEM-1,8
12398,qacE,8
11401,tet(Q),8
14518,aadA,8
14639,aadA,8
15431,TEM-1,8
2991,catP,8
12324,aadA3,8
123148,PC1_blaZ,8
5926,tet(H),8
123164,mecA,8
51525,TEM-2,8
18513,qacJ,8
14090,aadA,8
123163,fusB,8
117968,APH(6)-Id,8
122638,tet(39),8
22549,APH(6)-Ic,8
23799,APH(6)-Id,8
6453,tet(B),8
26876,dfrA17,8
2801,tet(M),8
73379,OXA-17,8
7645,AAC(6')-Ib-cr6,8
9006,sul1,8
153,ErmF,8
8995,AAC(6')-Ib-cr3,8
28946,aadA2,8
6618,tet(B),8
29770,dfrA25,8
6795,rmtG,8
125258,sul1,8
59900,aadA,8
6821,TEM-34,8
6822,CTX-M-12,8
8576,tet(A),8
8155,CTX-M-27,8
68411,dfr22,8
2686,Spyo_ErmA_MLSb,8
36234,APH(6)-Id,8
106980,tet(X3),8
7283,GES-24,8
3089,tet(O),8
7668,FOX-5,8
7654,sul1,8
7646,OXA-181,8
99010,sul1,8
11369,tet(X),8
11358,sul1,8
149157,ErmB,8
10870,cmlA5,8
19023,aadA2,8
10346,tet(X6),8
9151,tet(A),8
10294,tet(45),8
10238,TEM-208,8
169662,lnuA,8
54877,APH(3'')-Ib,8
10159,CTX-M-3,8
86246,qacA,8
9707,TEM-81,8
15,aadS,8
10341,dfrA17,8
5813,qacG,7
15083,aadA,7
149356,AAC6_Ie_APH2_Ia,7
15015,TEM-2,7
133465,tet(M),7
36053,qacE,7
149141,mecA,7
37623,AAC(6')-Ib-cr6,7
149240,SAT-4,7
47011,AAC(6')-Ib9,7
131343,OXA-17,7
149145,dfrK,7
38329,APH(6)-Id,7
